,0,1,2
0,ISCC PLUS (202-01) Environmental Mgt & Biodiversity ,[ ] Yes ,[X] No 
1,ISCC PLUS (202-02) Classified Chemicals ,[ ] Yes ,[X] No 
2,ISCC PLUS (202-03) SAI Gold* ,[ ] Yes ,[X] No 
3,ISCC PLUS (205-01) GHG-Emissions Requirements* ,[ ] Yes ,[X] No 
