,0,1,2
0,,,
1,"Type of Product: (e.g. raw material, crude oil) ",Processed material ,
2,,,
3,Type of Raw Material Additional Information: ,HVO (Palm) Sugar cane ,
4,,"FFS-FILM Content of bio-allocated PE 97,2 % of 1,368 mt netweight ",
5,Country of Origin (of the raw material): ,Indonesia Brazil ,
6,Quantity: ,"1,330 mt [X] metric tons [ ] m³ 3 ",
7,Chain of custody option ,Mass balance ,
